,Rank,country,country_code,1980,2000,2010,2021,2022,2030,2050,area,landAreaKm,growthRate,worldPercentage,density
0,1,China,CHN,982372466,1264099069,1348191368,1425893465,1425887337,1415605906,1312636325,9706961,9424702.9,??,0.1788,151.2926
1,2,India,IND,696828385,1059633675,1240613620,1407563842,1417173173,1514994080,1670490596,3287590,2973190,0.0068,0.1777,476.6507
2,3,United States,USA,223140018,282398554,311182845,336997624,338289857,352162301,375391963,9372610,9147420,0.0038,0.0424,36.982
3,4,Indonesia,IDN,148177096,214072421,244016173,273753191,275501339,292150100,317225213,1904569,1877519,0.0064,0.0345,146.7369
4,5,Pakistan,PAK,80624057,154369924,194454498,231402117,235824862,274029836,367808468,881912,770880,0.0191,0.0296,305.9164
5,6,Nigeria,NGA,72951439,122851984,160952853,213401323,218541212,262580425,377459883,923768,910770,0.0241,0.0274,239.9521
6,7,Brazil,BRA,122288383,175873720,196353492,214326223,215313498,223908968,230885725,8515767,8358140,0.0046,0.027,25.7609
7,8,Bangladesh,BGD,83929765,129193327,148391139,????,171186372,184424144,203904900,147570,130170,0.0108,0.0215,1315.0985
8,9,Russia,RUS,138257420,146844839,143242599,145102755,144713314,141432741,133133035,17098242,16376870,-0.0027,0.0181,8.8364
9,10,Mexico,MEX,67705186,97873442,112532401,126705138,127504125,134534107,143772364,1964375,1943950,0.0063,0.016,65.5902
10,11,Japan,JPN,117624196,126803861,128105431,124612530,123951692,118514802,103784357,????,364500,-0.0053,0.0155,340.0595
11,12,Ethiopia,ETH,34945469,67031867,89237791,120283026,123379924,149296378,214812309,1104300,1128571.3,0.0257,0.0155,109.324
12,13,Philippines,PHL,48419546,??,94636700,113880328,????,129453321,157891622,342353,298170,0.0147,0.0145,387.5608
13,14,Egypt,EGY,43748556,71371371,87252413,109262178,110990103,125151725,160339889,1002450,995450,0.0158,0.0139,111.4974
14,15,DR Congo,COD,26708686,48616317,66391257,95894118,99010212,127582053,217494003,2344858,2267050,0.0325,??,43.6736
15,16,Vietnam,VNM,52968270,79001142,87411012,97468029,98186856,102699905,107012939,331212,313429,0.0074,0.0123,313.2667
16,17,Iran,IRN,38520664,65544383,75373855,87923432,88550570,92921017,99007204,1648195,1622500,0.0071,0.0111,54.5766
17,18,Turkey,TUR,44089069,64113547,73195345,84775404,85341241,88879698,95829258,783562,783562,0.0067,0.0107,108.9145
18,19,Germany,DEU,77786703,81551677,81325090,83408554,83369843,82762675,78932228,357114,349390,-0.0005,0.0105,238.6154
19,20,Thailand,THA,45737753,63066603,68270489,71601103,71697030,72060018,67880083,513120,510890,0.0013,0.009,140.3375
20,21,United Kingdom,GBR,56326328,??,62760039,67281039,67508936,????,71684966,242900,241930,0.0034,0.0085,279.0433
21,22,Tanzania,TZA,19297659,34463704,45110527,63588334,65497748,81885304,129931520,945087,885800,????,0.0082,73.9419
22,23,France,FRA,53713830,58665453,62444567,64531444,64626628,65543452,65827072,551695,547557,0.0015,0.0081,118.0272
23,24,South Africa,ZAF,29463549,46813266,51784921,59392255,59893885,64659278,73529753,1221037,1213090,0.0084,0.0075,??
24,25,Italy,ITA,56329482,56966397,59822450,59240329,59037474,57544258,52250484,301336,295717,-0.0034,0.0074,199.6418
25,26,Myanmar,MMR,33465781,45538332,49390988,53798084,54179306,56987625,59929399,676578,652670,0.0071,0.0068,83.0118
26,27,Kenya,KEN,16187124,30851606,41517895,53005614,54027487,63103942,85211739,580367,569140,0.0193,0.0068,94.9283
